,Popular hedge fund index,S&P 500
30-01-15,-0.1,-3.1
28-02-15,2.2,5.49
30-03-15,0.42,-1.74
30-04-15,1.08,0.85
30-05-15,0.81,1.05
30-06-15,-1.09,-2.1
30-07-15,-0.55,1.97
30-08-15,-2.5,-6.26
30-09-15,-1.69,-2.64
30-10-15,2.22,8.3
30-11-15,0.22,0.05
30-12-15,-0.86,-1.75
30-01-16,-2.99,-5.07
28-02-16,-0.35,-0.41
30-03-16,2.45,6.6
30-04-16,1.03,0.27
30-05-16,0.62,1.53
30-06-16,-0.04,0.09
30-07-16,2.04,3.56
30-08-16,0.73,-0.12
30-09-16,0.89,-0.12
30-10-16,-0.31,-1.94
30-11-16,0.82,3.42
30-12-16,1.14,1.82